File,Year,IWC,Resolution or Document  No,Subject,Country,Vote,Notes,Matrix Decision ID
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Antigua & Barbuda,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Argentina,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Australia,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Belize,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Brazil,2,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Chile,3,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)","China, People's Rep.",3,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Costa Rica,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Denmark,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Dominica,0,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Egypt,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",France,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Germany,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Iceland,2,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",India,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Jamaica,0,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Japan,2,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Kenya,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)","Korea, Republic of",2,,1
